test_id,vertices,edges,iterations,time_ms,mst_weight
1,3925,15699,98125,23,60900
2,3979,15915,119370,6,62272
3,3060,12239,91800,5,47965
4,7290,29159,218700,13,113908
5,6484,19451,155616,9,131039
6,7649,30595,191225,12,115672
7,9059,63412,434832,25,83872
8,3964,27747,158560,6,36476
9,7388,51715,295520,12,67019
10,3828,15311,95700,4,58572
11,6606,39635,231210,9,69966
12,7587,30347,189675,8,118268
13,8951,62656,429648,18,81188
14,7588,22763,182112,7,152984
15,6541,26163,163525,6,101615
16,5527,22107,138175,5,86388
17,7772,23315,186528,6,158915
18,6159,30794,184770,7,76608
19,6510,39059,227850,7,69214
20,6831,40985,286902,9,71521
21,2773,13864,66552,2,35383
22,9994,59963,349790,16,104962
23,2716,19011,108640,3,24091
24,1874,11243,65590,2,19686
25,4554,18215,113850,4,71093
26,5629,28144,168870,5,69240
27,175,1049,4900,0,1882
28,1200,7199,42000,1,12247
29,1354,6769,32496,0,16435
30,842,4209,20208,1,10650
31,5618,22471,140450,5,86215
32,5853,17558,117060,4,117902
33,2152,12911,75320,2,22939
34,5798,23191,173940,6,89211
35,1687,6747,42175,1,25195
36,2374,9495,59350,2,36333
37,3283,16414,98490,2,40163
38,4459,31212,178360,6,40108
39,5952,17855,142848,5,118932
40,7464,22391,149280,6,151494
41,1586,7929,47580,1,20076
42,8867,26600,212808,7,178060
43,5980,35879,209300,8,63728
44,942,5651,32970,1,10072
45,7693,30771,230790,8,117521
46,8454,25361,202896,8,173866
47,215,859,4300,0,3302
48,2821,16925,98735,3,29809
49,3702,11105,88848,3,74850
50,9371,28112,224904,9,190486
51,348,1739,8352,1,4389
52,7012,21035,168288,5,142821
53,2900,20299,116000,4,27639
54,2601,18206,104040,3,23750
55,9398,46989,338328,13,117588
56,1494,7469,35856,1,17889
57,9564,57383,334740,13,102837
58,2720,10879,68000,2,41215
59,467,1400,7472,0,9329
60,474,2369,14220,1,6087
61,7230,43379,253050,8,76102
62,6694,20081,133880,4,134411
63,6702,40211,234570,9,70079
64,9776,48879,351936,14,122627
65,6530,26119,195900,7,100679
66,8499,42494,254970,10,104469
67,9545,28634,190900,8,192905
68,3296,23071,131840,4,30327
69,327,980,5232,1,6486
70,9534,38135,286020,12,145538
71,1438,8627,40264,1,14447
72,1068,5339,32040,1,13251
73,1300,7799,45500,1,13856
74,3761,26326,150440,5,34582
75,6645,46514,318960,11,60081
76,4659,27953,163065,5,48415
77,8751,43754,315036,11,109488
78,5892,23567,176760,5,89950
79,4762,14285,114288,4,96219
80,777,4661,27195,1,7994
